time (unix), tc temp (C), tr temp (C), tr res (ohm), film res (ohm)
1644159741.3765597,23.1941833,22.373312947080123,1027.18115,-2239768.95
1644159742.569067,23.2044296,22.371233056880605,1027.17493,-2239582.7
1644159743.775017,23.1997299,22.374128850926343,1027.18359,-2239824.05
1644159744.9719026,23.1954727,22.37494809771429,1027.18604,-2239725.67
1644159746.1692777,23.1851749,22.372701018591176,1027.17932,-2239826.93
1644159747.3690283,23.1831588,22.374536802504114,1027.18481,-2239429.68
1644159748.5664694,23.1892013,22.37592450491839,1027.18896,-2238910.06
1644159749.7768111,23.1896762,22.375476427803413,1027.18762,-2238613.88
1644159750.9849336,23.1825885,22.375152073300747,1027.18665,-2238834.95
1644159752.1810608,23.1848506,22.3726608921149,1027.1792,-2238794.78
1644159753.3813612,23.1776885,22.37176138968471,1027.17651,-2238707.47
1644159754.5734835,23.1706829,22.373764369403865,1027.1825,-2238532.74
1644159755.7676554,23.1773662,22.37253716879867,1027.17883,-2238447.3
1644159756.9610124,23.1904716,22.373108970974762,1027.18054,-2237969.09
1644159758.1562324,23.1939315,22.37249704231317,1027.17871,-2238159.89
1644159759.349742,23.1962261,22.370373679279577,1027.17236,-2238537.09
1644159760.5433586,23.1984329,22.37425257397021,1027.18396,-2238796.09
1644159761.739083,23.203617,22.374088724529177,1027.18347,-2238862.23
1644159762.9364462,23.196577,22.371925239653116,1027.177,-2238870.7
1644159764.1348956,23.2111129,22.374700651843582,1027.1853,-2239194.15
1644159765.3303015,23.20652,22.37576399971515,1027.18848,-2239269.99
1644159766.5279496,23.213705,22.372008836561438,1027.17725,-2239406.14
1644159767.7234786,23.1979351,22.37274114506539,1027.17944,-2239496.24
1644159768.952872,23.1918067,22.372864868346788,1027.17981,-2239873.65
1644159770.150392,23.1960735,22.373764369403865,1027.1825,-2239758.33
1644159771.3476613,23.1934661,22.372416789335556,1027.17847,-2239718.03
1644159772.5422773,23.19705,22.373272820637705,1027.18103,-2239727.74
1644159773.7354012,23.1911029,22.37106920675529,1027.17444,-2238700.8
1644159774.9363346,23.1929187,22.373028718064965,1027.1803,-2238525.9
1644159776.1444733,23.1965084,22.370293426066166,1027.17212,-2238544.86
1644159777.3553247,23.1879501,22.373600519852367,1027.18201,-2238509.76
1644159778.5552757,23.1807785,22.37106920675529,1027.17444,-2238850.25
1644159779.7687888,23.181015,22.36906956345897,1027.16846,-2239027.66
1644159780.959179,23.1753234,22.370373679279577,1027.17236,-2239258.6
1644159782.1524367,23.1732616,22.370621126631264,1027.1731,-2239293.95
1644159783.3506203,23.1828479,22.372456915825502,1027.17859,-2239624.89
1644159784.5472124,23.1907463,22.373804495819048,1027.18262,-2239583.73
1644159785.7456965,23.1842212,22.371149459882545,1027.17468,-2239552.49
1644159786.9384696,23.1806468,22.374824374789462,1027.18567,-2239505.74
1644159788.1344414,23.1815204,22.37053752956245,1027.17285,-2239323.9
1644159789.342772,23.1779403,22.368945839528127,1027.16809,-2239147.24
1644159790.5422657,23.1758232,22.368537884795465,1027.16687,-2239253.54
1644159791.7365139,23.1811752,22.368865586156286,1027.16785,-2239089.84
1644159792.9374168,23.1711807,22.369189943479405,1027.16882,-2238962.78
