t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681586464.7376606, -3.2, -6.638743e-06, -1.944553e-06, 7.138497e-06, 196.5608, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586470.4596784, 3.2, -1.01483e-05, -2.017636e-06, 1.053333e-05, 191.2457, 0, 0, 0, 8.333333333333334, 3.2, 0.984806, 0.0165406, 0.418581, 0.966
1681586476.1516676, -3.2, -7.698923e-06, -1.981095e-06, 7.686044e-06, 194.5629, 0, 0, 0, 8.333333333333334, 3.2, 0.984806, 0.0165406, 0.418581, 0.966
1681586481.8387775, 3.2, -1.347507e-05, -2.017636e-06, 1.387316e-05, 188.7496, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586487.5296233, -3.2, -7.187112e-06, -1.944553e-06, 7.022992e-06, 196.2646, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586493.2297308, 3.2, -1.427935e-05, -1.981095e-06, 1.424022e-05, 188.1663, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586498.9278238, -3.2, -6.894649e-06, -2.054178e-06, 7.419917e-06, 193.113, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586504.632358, 3.2, -1.281703e-05, -2.017636e-06, 1.322772e-05, 188.6869, 0, 0, 0, 8.333333333333334, 3.2, 0.984806, 0.0165406, 0.418581, 0.966
1681586510.3259358, -3.2, -5.505448e-06, -1.981095e-06, 6.16209e-06, 198.6463, 0, 0, 0, 8.333333333333334, 3.2, 0.984806, 0.0165406, 0.418581, 0.966
1681586516.0246744, 3.2, -1.19762e-05, -1.981095e-06, 1.28498e-05, 189.0992, 0, 0, 0, 8.333333333333334, 3.2, 0.984806, 0.0165406, 0.418581, 0.966
1681586521.7371845, -3.2, -6.455954e-06, -1.944553e-06, 7.058128e-06, 196.2901, 0, 0, 0, 8.333333333333334, 3.2, 0.984806, 0.0165406, 0.418581, 0.966
1681586527.429246, 3.2, -8.905335e-06, -1.981095e-06, 9.23012e-06, 192.6932, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
