t,i,temp_desired,temp_tc,temp_therm
1681775292.13754,17.147787108752187,0.11208067832135613,17.0212173(990.81189, 10.107860680363212)
1681775297.1534855,17.231457124882,0.1371290305500509,17.158636(991.092346, 10.203253609335704)
1681775302.1692405,17.315079930159506,0.15737756224689556,17.2842998(991.396667, 10.306749381860849)
1681775307.2102616,17.398836595548246,0.1640940646535085,17.3823204(991.691833, 10.407117261020282)
1681775312.182039,17.481870359910584,0.17532992551906754,17.4875431(991.965149, 10.500042661134648)
1681775317.1916375,17.565280849469758,0.1854461195027372,17.5899524(992.238831, 10.593080332288912)
1681775322.1862938,17.648516427212016,0.19210671995130693,17.6847(992.507141, 10.684279988683594)
1681775327.1914985,17.731945743891654,0.18292862301419757,17.7489242(992.766479, 10.772418913747218)
1681775332.20139,17.81561077707316,0.1829892557308354,17.8318939(992.993042, 10.8494099513068)
1681775337.2230277,17.89913466645584,0.17738799641278283,17.9039726(993.228394, 10.92937886041855)
1681775342.214348,17.98243190718994,0.16964752086598409,17.9722957(993.455078, 11.00639402299586)
1681775347.2327054,18.06587908142115,0.15294513481233485,18.0244178(993.681274, 11.083235081742997)
1681775352.2406795,18.149427003396607,0.1419238787396927,18.0889472(993.886841, 11.153061066010215)
1681775357.2458816,18.23283347560272,0.12953815074656772,18.1516418(994.087891, 11.221346112504543)
1681775362.2512944,18.316457035872396,0.10576087736972156,18.1938591(994.278564, 11.286100641162287)
1681775367.2688866,18.399950483176166,0.0869557496597747,18.2473945(994.477905, 11.35379261515708)
1681775372.3185973,18.484026712907408,0.06671928209047001,18.3002719(994.684631, 11.423985580913634)
1681775377.300668,18.567226360969798,0.0489566686319127,18.3583564(994.877258, 11.489385061587056)
1681775382.3124232,18.650708662205,0.03471487263420739,18.4246921(995.057983, 11.550738190992577)
1681775387.320599,18.734156583481088,0.014154499909135032,18.4797401(995.260071, 11.619337444057116)
1681775392.3513453,18.817960817350006,0,18.5424213(995.456177, 11.685899776685108)
1681775397.3327243,18.901090831292723,0,18.5873775(995.64502, 11.749991022195571)
1681775402.3225605,18.984308682613626,0,18.6453514(995.861145, 11.8233344041632)
1681775407.3550472,19.067951801154074,0,18.7093658(996.069336, 11.893978193901168)
1681775412.34473,19.15114706628825,0,18.788805(996.283875, 11.96676867255115)
1681775417.3622203,19.234785007171887,0,18.8618412(996.505981, 12.042118709479949)
1681775422.365148,19.318175839119213,0,18.9377784(996.725464, 12.116571061183972)
1681775427.373409,19.401651611658984,0,19.015419(996.951782, 12.193333816927154)
1681775432.3735173,19.485047343108114,0,19.0826492(997.171997, 12.26801861665646)
1681775437.448241,19.569732517732238,0,19.1597843(997.413696, 12.34998060020254)
1681775442.4250572,19.65244229111379,0,19.2338161(997.648621, 12.42963643930362)
1681775447.4337897,19.736028157406107,0,19.3147411(997.877075, 12.50708962785808)
1681775452.4304855,19.819371933473207,0,19.3879547(998.095703, 12.581203612436987)
1681775457.4268007,19.902688668899792,0,19.4574184(998.343933, 12.66534321639689)
1681775462.444016,19.986347944272612,0,19.5442638(998.57196, 12.742626101329927)
1681775467.4561143,20.069802747898358,0,19.6191024(998.800476, 12.820066319237572)
1681775472.4725642,20.15331500642802,0,19.6988677(999.042725, 12.902151241299737)
1681775477.4825325,20.23682421319987,0,19.7739772(999.275024, 12.980855784464381)
1681775482.5001597,20.32060720397339,0,19.8438091(999.493958, 13.055024225986925)
1681775487.5142274,20.404184554748788,0,19.9185638(999.739014, 13.138032896226122)
1681775492.524669,20.487605177097574,0,19.9816608(999.963745, 13.214148323291747)
1681775497.5487382,20.57122968309428,0,20.0452423(1000.19043, 13.29091734011784)
1681775502.5851066,20.655082478854116,0,20.1079998(1000.41614, 13.36734796255669)
1681775507.551072,20.738058065109506,0,20.1688137(1000.6507, 13.44676673099147)
1681775512.554702,20.82145762317683,0,20.2283477(1000.85724, 13.51669100258168)
1681775517.6014545,20.905417445036825,0,20.2853927(1001.06561, 13.587227884632414)
1681775522.5832503,20.988407141698456,0,20.3580188(1001.29974, 13.666476665477871)
1681775527.6004717,21.07199099335378,0,20.408823(1001.51514, 13.7393779142107)
1681775532.601321,21.15539131038691,0,20.4643497(1001.72699, 13.811070423694208)
1681775537.5891826,21.238727941843923,0,20.5232868(1001.94904, 13.886207010429725)
1681775542.6027749,21.322259647382353,0,20.5799865(1002.14203, 13.951503947471103)
1681775547.6133065,21.405745958023324,0,20.6327819(1002.3493, 14.021625786598086)
1681775552.6409373,21.489412767423246,0,20.6910419(1002.54889, 14.089142890476735)
1681775557.6387138,21.572869438661193,0,20.7467956(1002.75812, 14.159914156542412)
1681775562.6547747,21.656215439968364,0,20.8083248(1002.94202, 14.222111858973765)
1681775567.7094607,21.740441054833983,0,20.8663578(1003.13708, 14.288078124613948)
1681775572.6784558,21.82333536419576,0,20.9067478(1003.33221, 14.354061973380748)
1681775577.6810496,21.90666120323842,0,20.9448394(1003.51489, 14.415830295008071)
1681775582.6837654,21.990039967232004,0,20.9843387(1003.69556, 14.47691374143132)
1681775587.6925428,22.073528284562684,0,21.0348625(1003.88361, 14.540486780227445)
1681775592.6871955,22,0,21.0906314(1004.09009, 14.610283839966371)
1681775597.6922467,22,0,21.1224002(1004.23157, 14.65810482049442)
1681775602.7294664,22,0,21.1676082(1004.40338, 14.716173201278535)
1681775607.7444568,22,0,21.2035846(1004.5824, 14.77667340501688)
1681775612.7474349,22,0,21.2474174(1004.7392, 14.829660107667495)
1681775617.7594712,22,0,21.2804927(1004.90894, 14.88701514182243)
1681775622.7748199,22,0,21.3138885(1005.07275, 14.942362073618174)
1681775627.777463,22,0,21.3496685(1005.22455, 14.993647332423802)
1681775632.8102748,22,0,21.398447(1005.38977, 15.04946232842584)
1681775637.795584,22,0,21.4273834(1005.54657, 15.102428835146414)
1681775642.79148,22,0,21.4617042(1005.69714, 15.153287179960296)
1681775655.036466,21.4912815,0,21.5318965(1006.04492, 15.270743749257127)
1681775660.082486,21.57537308786138,0.0004420314003721854,21.5745315(1006.1842, 15.317777711881412)
