time,res,x_v,y_v,r_v,t_v,x_a,y_a,r_a,t_a
1645225819.3529544,97882827.44347934,-0.0499453,-5.10256e-10,-0.0018737899999999997,2.9297e-11,0.0499758,5.10256e-10,-177.852,176.67
1645225821.9456623,98547671.73132713,-0.0501041,-5.08425e-10,-0.00180665,2.80763e-11,0.0501286,5.08425e-10,-177.936,176.808
1645225824.5395477,98467935.74500379,-0.0498232,-5.05984e-10,-0.0018371700000000002,2.8686699999999998e-11,0.0498537,5.05984e-10,-177.888,176.718
1645225827.1410117,98707687.19341952,-0.049884200000000004,-5.05373e-10,-0.00186769,2.8686699999999998e-11,0.0499147,5.05373e-10,-177.858,176.712
1645225829.747862,97769705.87541942,-0.0497683,-5.09036e-10,-0.00178834,2.80763e-11,0.0497927,5.09036e-10,-177.942,176.814
1645225832.3553548,97930646.57740428,-0.0499697,-5.10256e-10,-0.0018737899999999997,2.9297e-11,0.0499941,5.10256e-10,-177.858,176.67
1645225834.959899,98277923.23853126,-0.05014690000000001,-5.10256e-10,-0.0015869299999999999,3.05177e-11,0.050171299999999995,5.10256e-10,-178.188,176.52
1645225837.5686185,98655848.94527215,-0.0501591,-5.08425e-10,-0.00167848,3.17384e-11,0.050177400000000004,5.08425e-10,-178.092,176.358
1645225840.169042,98165355.69193535,-0.0499697,-5.09036e-10,-0.00144654,3.17384e-11,0.0499819,5.09646e-10,-178.344,176.4
1645225842.7832477,98760658.90517642,-0.0500919,-5.07205e-10,-0.00150757,3.17384e-11,0.05011020000000001,5.07205e-10,-178.284,176.388
1645225845.3990734,97559852.30942899,-0.0497805,-5.10256e-10,-0.00179445,2.9297e-11,0.049811,5.10256e-10,-177.942,176.67
1645225847.9942975,98453351.04000503,-0.0501163,-5.09036e-10,-0.00178834,2.9297e-11,0.0501408,5.09646e-10,-177.96,176.7
1645225850.5934243,98676472.03793338,-0.0500492,-5.07205e-10,-0.00184327,2.9297e-11,0.050073599999999996,5.07205e-10,-177.888,176.646
1645225853.2008681,97547897.52594776,-0.0497744,-5.10256e-10,-0.00178834,3.05177e-11,0.0498049,5.10867e-10,-177.948,176.556
1645225855.8006353,98038631.58884951,-0.0500248,-5.10256e-10,-0.00185548,2.9297e-11,0.0500492,5.10256e-10,-177.882,176.67
1645225858.4308057,98867732.34582327,-0.0500858,-5.06594e-10,-0.00149537,3.29591e-11,0.0501041,5.07205e-10,-178.296,176.274
1645225861.0410473,98038268.55019173,-0.0497255,-5.07205e-10,-0.0017028899999999999,2.7466e-11,0.0497499,5.07205e-10,-178.044,176.838
1645225863.6470768,97889540.22898184,-0.0498293,-5.09036e-10,-0.00184327,2.80763e-11,0.0498537,5.09036e-10,-177.888,176.814
1645225866.2710454,98275665.85433811,-0.0500858,-5.09646e-10,-0.0018188599999999998,3.11281e-11,0.0501163,5.10256e-10,-177.924,176.442
1645225868.8814597,98735279.13871859,-0.050018700000000006,-5.06594e-10,-0.00145875,3.05177e-11,0.050037,5.07205e-10,-178.332,176.496
1645225871.4857805,98086375.33147347,-0.0497499,-5.07205e-10,-0.00157472,2.9297e-11,0.0497622,5.07205e-10,-178.188,176.688
1645225874.0993454,98184968.93553755,-0.049859799999999996,-5.07815e-10,-0.00185548,2.9297e-11,0.0498903,5.07815e-10,-177.876,176.688
1645225876.7086742,98301832.80549371,-0.0501591,-5.10256e-10,-0.0016418599999999998,3.11281e-11,0.050183500000000006,5.10867e-10,-178.134,176.448
1645225879.2981312,98277923.23853126,-0.05014690000000001,-5.10256e-10,-0.00172731,2.9297e-11,0.050171299999999995,5.10256e-10,-178.026,176.67
1645225881.9125483,98242058.88808756,-0.0501286,-5.10256e-10,-0.00176393,3.05177e-11,0.050153,5.10867e-10,-177.99,176.556
1645225884.526919,99046249.00815834,-0.050055300000000004,-5.05373e-10,-0.00147095,3.11281e-11,0.050073599999999996,5.05373e-10,-178.32,176.412
1645225887.1329923,98393661.7112509,-0.0497255,-5.05373e-10,-0.0016845800000000002,2.99074e-11,0.0497499,5.05373e-10,-178.062,176.562
1645225889.749575,97865573.35826935,-0.049817099999999996,-5.09036e-10,-0.00183107,2.80763e-11,0.0498415,5.09036e-10,-177.894,176.814
1645225892.3520741,97739174.06164747,-0.049872,-5.10256e-10,-0.00186769,2.8686699999999998e-11,0.0499025,5.10256e-10,-177.858,176.742
1645225894.9640965,98395552.99168445,-0.05014690000000001,-5.09646e-10,-0.0017334100000000001,3.17384e-11,0.050171299999999995,5.10256e-10,-178.026,176.406
1645225897.5722995,98251727.66979432,-0.050073599999999996,-5.09646e-10,-0.00148316,3.11281e-11,0.0500858,5.10256e-10,-178.308,176.442
1645225900.190169,97968551.53943858,-0.0497499,-5.07815e-10,-0.00157472,2.8686699999999998e-11,0.0497622,5.07815e-10,-178.188,176.73
1645225902.8008554,98035891.5796455,-0.049963600000000004,-5.09646e-10,-0.00186769,2.9297e-11,0.0499941,5.10256e-10,-177.864,176.706
1645225905.4285076,98893149.71264084,-0.0501591,-5.07205e-10,-0.0016418599999999998,3.29591e-11,0.050183500000000006,5.07815e-10,-178.128,176.238
1645225908.0502977,97803019.12769827,-0.0497255,-5.08425e-10,-0.00169069,2.80763e-11,0.0497499,5.08425e-10,-178.056,176.808
1645225910.6664135,98655848.94527215,-0.0501591,-5.08425e-10,-0.00165406,3.17384e-11,0.050177400000000004,5.09036e-10,-178.116,176.358
1645225913.269787,98275665.85433811,-0.0500858,-5.09646e-10,-0.00150147,3.11281e-11,0.0501041,5.10256e-10,-178.29,176.442
1645225915.8813465,98662637.14137949,-0.0499819,-5.06594e-10,-0.00145264,3.05177e-11,0.0499941,5.07205e-10,-178.344,176.496
1645225918.5047293,97583761.87639146,-0.0497927,-5.10256e-10,-0.00180665,3.05177e-11,0.0498232,5.10867e-10,-177.924,176.52
1645225921.117315,98301832.80549371,-0.0501591,-5.10256e-10,-0.00167238,3.17384e-11,0.050183500000000006,5.10256e-10,-178.104,176.406
