t,f2,bias,v2,x2,y2,r2,theta2,x8,y8,r8,theta8
1681336671.8535285,442.3,5.88,0.1,0.001211547,2.869087e-06,0.00121155,0.3094241,-0.0986638,-0.00165559,-0.0146104,-179.04
1681336675.9080186,442.3,5.93,0.1,0.001207891,2.869087e-06,0.001207894,359.9629,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336679.9741685,442.3,5.98,0.1,0.001207891,-7.850687e-07,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336684.035439,442.3,6.03,0.1,0.001211547,-7.850687e-07,0.001207894,359.9629,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336688.0989544,442.3,6.08,0.1,0.001207891,2.869087e-06,0.001207909,0.1360936,-0.0986638,-0.00165559,-0.0146104,-179.04
1681336692.1675289,442.3,6.13,0.1,0.001207891,-7.850687e-07,0.001211564,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336696.2587712,442.3,6.18,0.1,0.001207891,6.523243e-06,0.00121155,0.3094241,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336700.3095434,442.3,6.23,0.1,0.001211547,-7.850687e-07,0.001207891,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336704.381057,442.3,6.28,0.1,0.001207891,6.523243e-06,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336708.4515927,442.3,6.33,0.1,0.001207891,2.869087e-06,0.001207891,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336712.5145347,442.3,6.38,0.1,0.001204235,6.523243e-06,0.001207891,0.3084905,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336716.5683417,442.3,6.43,0.1,0.001207891,2.869087e-06,0.001207894,359.7894,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336720.6137385,442.3,6.48,0.1,0.001211547,6.523243e-06,0.001207891,359.9628,-0.0986638,-0.00165559,-0.0146104,-179.04
1681336724.6638215,442.3,6.53,0.1,0.001207891,2.869087e-06,0.001204239,0.1356829,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336728.7188632,442.3,6.58,0.1,0.001207891,-7.850687e-07,0.001207894,0.3094241,-0.0986638,-0.00165559,-0.0146027,-179.04
1681336732.7751935,442.3,6.63,0.1,0.001207891,-7.850687e-07,0.001207894,359.9629,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336736.8407528,442.3,6.68,0.1,0.001207891,-7.850687e-07,0.001207891,0.1365068,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336740.8934467,442.3,6.73,0.1,0.001211547,2.869087e-06,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336744.9609547,442.3,6.78,0.1,0.001207891,-7.850687e-07,0.001207894,359.7894,-0.0986638,-0.00165559,-0.0146027,-179.04
1681336749.056657,442.3,6.83,0.1,0.001207891,-7.850687e-07,0.001207891,0.1360936,-0.0986638,-0.00165559,-0.0146104,-179.04
1681336753.136485,442.3,6.88,0.1,0.001207891,-7.850687e-07,0.001207891,0.1360936,-0.0986638,-0.00165559,-0.0146104,-179.04
1681336757.208509,442.3,6.93,0.1,0.001204235,-4.439225e-06,0.001207894,0.1360936,-0.0986638,-0.00165559,-0.0146104,-179.04
1681336761.2682426,442.3,6.98,0.1,0.001204235,2.869087e-06,0.001204243,359.9629,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336765.332146,442.3,7.04,0.1,0.001204235,-4.439225e-06,0.001204239,359.9628,-0.0986638,-0.00165559,-0.0146104,-179.04
1681336769.3941383,442.3,7.09,0.1,0.001207891,-7.850687e-07,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336773.4797282,442.3,7.14,0.1,0.001207891,-7.850687e-07,0.001204235,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336777.5291507,442.3,7.19,0.1,0.001207891,2.869087e-06,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336781.5998952,442.3,7.24,0.1,0.001211547,2.869087e-06,0.001207909,0.1360936,-0.0986638,-0.00165559,-0.0146104,-179.04
1681336785.6724157,442.3,7.29,0.1,0.001207891,-7.850687e-07,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336789.738531,442.3,7.34,0.1,0.001204235,-7.850687e-07,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336793.8130095,442.3,7.39,0.1,0.001207891,2.869087e-06,0.001207891,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336797.8775008,442.3,7.44,0.1,0.001211547,-7.850687e-07,0.001204239,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336801.951711,442.3,7.49,0.1,0.001207891,-7.850687e-07,0.001207899,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336805.9959369,442.3,7.54,0.1,0.001207891,-4.439225e-06,0.001207891,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336810.049022,442.3,7.59,0.1,0.001207891,-7.850687e-07,0.001211564,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336814.115646,442.3,7.64,0.1,0.001211547,2.869087e-06,0.001207891,359.9629,-0.0986638,-0.00165559,-0.0146104,-179.04
1681336818.1758723,442.3,7.69,0.1,0.001204235,-7.850687e-07,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336822.2392955,442.3,7.74,0.1,0.001204235,-7.850687e-07,0.001207891,0.1360936,-0.0986638,-0.00165559,-0.0146104,-179.04
1681336826.29851,442.3,7.79,0.1,0.001207891,-7.850687e-07,0.001204239,0.1360936,-0.0986638,-0.00165559,-0.0146104,-179.04
1681336830.3588765,442.3,7.84,0.1,0.001211547,-7.850687e-07,0.001204235,359.9628,-0.0986638,-0.00165559,-0.0146104,-179.04
1681336834.4304755,442.3,7.89,0.1,0.001207891,-7.850687e-07,0.001207894,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336838.4945385,442.3,7.94,0.1,0.001207891,2.869087e-06,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336842.5575724,442.3,7.99,0.1,0.001207891,2.869087e-06,0.001207891,0.1365068,-0.0986638,-0.00165559,-0.0146104,-179.04
1681336846.6347337,442.3,8.04,0.1,0.001207891,2.869087e-06,0.001207891,359.9629,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336850.7204988,442.3,8.09,0.1,0.001207891,2.869087e-06,0.001204235,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336854.7881985,442.3,8.14,0.1,0.001207891,2.869087e-06,0.001207894,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336858.8523233,442.3,8.19,0.1,0.001207891,2.869087e-06,0.001207891,0.1356829,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336862.920115,442.3,8.24,0.1,0.001207891,2.869087e-06,0.001207894,359.9629,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336866.9951036,442.3,8.29,0.1,0.001207891,2.869087e-06,0.001204253,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336871.0580995,442.3,8.34,0.1,0.001207891,2.869087e-06,0.001207894,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336875.1358538,442.3,8.39,0.1,0.001207891,2.869087e-06,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336879.190385,442.3,8.44,0.1,0.001207891,-7.850687e-07,0.001204253,0.1360936,-0.0986638,-0.00165559,-0.0146104,-179.04
1681336883.2511272,442.3,8.49,0.1,0.001207891,-7.850687e-07,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336887.3200076,442.3,8.54,0.1,0.001204235,-7.850687e-07,0.001207891,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336891.3693178,442.3,8.59,0.1,0.001207891,6.523243e-06,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336895.441952,442.3,8.64,0.1,0.001207891,-7.850687e-07,0.001207894,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336899.510505,442.3,8.69,0.1,0.001207891,-7.850687e-07,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336903.5576365,442.3,8.74,0.1,0.001207891,2.869087e-06,0.001207891,359.9628,-0.0986638,-0.00165559,-0.0146104,-179.04
1681336907.6197367,442.3,8.79,0.1,0.001207891,2.869087e-06,0.001207909,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
