t,gateBias,f2,bias,v2,x2,y2,r2,theta2,x8,y8,r8,theta8
1681347172.7618284,-1.6666666666666667,442.3,0.54,0.01,0.00961334,2.609297e-05,0.009598723,359.9813,0,0,0,0
1681347176.2895074,-1.6666666666666667,442.3,0.56,0.01,0.00961334,-3.140275e-06,0.009613341,0.2426289,0,0,0,0
1681347179.8308423,-1.6666666666666667,442.3,0.59,0.01,0.00961334,-3.140275e-06,0.009613346,0.06839932,0,0,0,0
1681347183.3604345,-1.6666666666666667,442.3,0.62,0.01,0.00961334,-3.140275e-06,0.009598723,0.1555144,0,0,0,0
1681347186.9011986,-1.6666666666666667,442.3,0.64,0.01,0.00961334,1.147635e-05,0.009613356,359.9813,0,0,0,0
1681347190.4491043,-1.6666666666666667,442.3,0.67,0.01,0.00961334,1.147635e-05,0.009613346,359.9813,0,0,0,0
1681347194.01381,-1.6666666666666667,442.3,0.69,0.01,0.00961334,1.147635e-05,0.009613346,0.06850353,0,0,0,0
1681347197.54785,-1.6666666666666667,442.3,0.72,0.01,0.00961334,2.609297e-05,0.009598716,0.1555144,0,0,0,0
1681347201.1050675,-1.6666666666666667,442.3,0.74,0.01,0.009598716,-1.77569e-05,0.009598751,0.06839932,0,0,0,0
1681347204.664262,-1.6666666666666667,442.3,0.77,0.01,0.00961334,1.147635e-05,0.009613346,0.06839932,0,0,0,0
1681347208.2226598,-1.6666666666666667,442.3,0.79,0.01,0.009598716,1.147635e-05,0.009627962,0.1555144,0,0,0,0
1681347211.7751942,-1.6666666666666667,442.3,0.82,0.01,0.009598716,-3.140275e-06,0.009598751,0.06850353,0,0,0,0
1681347215.3175616,-1.6666666666666667,442.3,0.85,0.01,0.009598716,1.147635e-05,0.009613374,0.06839932,0,0,0,0
1681347218.8757732,-1.6666666666666667,442.3,0.87,0.01,0.00961334,2.609297e-05,0.009598751,0.06850353,0,0,0,0
1681347222.4249473,-1.6666666666666667,442.3,0.9,0.01,0.00961334,1.147635e-05,0.009613346,0.06850353,0,0,0,0
1681347225.978982,-1.6666666666666667,442.3,0.92,0.01,0.00961334,1.147635e-05,0.009613374,359.9813,0,0,0,0
1681347229.542158,-1.6666666666666667,442.3,0.95,0.01,0.009598716,1.147635e-05,0.009613346,0.06839932,0,0,0,0
