DYT048
2022-3-4LOCK-IN PARAMETERS
ADDRESS: 10
TAU: 1
SENSITIVITY: 1e-3
FREQUENCY: 7.675
AMP: 1
COUPLING: AC
LP_FILTER: 24
SYNC_FILTER: none
NOTCH_FILTER: none
ADDRESS: 2
TIME	T_PPMS(K)	 H_PPMS(Oe)	VDP_config	LIA_X(V)	LIA_Y(V)	LIA_PHASE	LIA2_X(A)	LIA2_Y(A)	LIA2_PHASE
18:19:36	266.93	0.22	3	0.0215036	-8.01091e-05	-0.216	7.90465e-08	-2.9686e-09	-2.148
18:19:41	266.67	0.22	1	0.00978667	0.000293734	1.728	8.87089e-08	8.73118e-10	0.582
18:19:46	266.43	0.22	2	0.0314772	0.000219346	0.402	8.1724e-08	-2.03728e-09	-1.404
18:19:51	266.18	0.24	3	0.0217763	-0.000108719	-0.282	7.88136e-08	-3.08502e-09	-2.202
18:19:56	265.94	0.22	1	0.00992209	0.000289919	1.68	8.85925e-08	8.14911e-10	0.558
18:20:01	265.66	0.18	2	0.0318911	0.000186921	0.336	8.15494e-08	-2.09549e-09	-1.452
18:20:06	265.41	0.20	3	0.0220548	-0.000135423	-0.348	7.85808e-08	-3.14323e-09	-2.256
18:20:11	265.16	0.22	1	0.0100613	0.000288012	1.644	8.84179e-08	7.56703e-10	0.516
18:20:16	264.92	0.26	2	0.0323088	0.000156404	0.276	8.13166e-08	-2.1537e-09	-1.5
18:20:22	264.64	0.22	3	0.0223371	-0.00016594	-0.42	7.82898e-08	-3.20144e-09	-2.34
18:20:27	264.39	0.26	1	0.0102025	0.000282289	1.59	8.82433e-08	7.56703e-10	0.498
18:20:32	264.14	0.22	2	0.0327361	0.000122071	0.216	8.10255e-08	-2.21191e-09	-1.554
18:20:37	263.90	0.24	3	0.0226232	-0.000196458	-0.492	7.79987e-08	-3.31785e-09	-2.394
18:20:42	263.63	0.26	1	0.0103436	0.000276567	1.542	8.81269e-08	6.98495e-10	0.474
18:20:47	263.37	0.24	2	0.0331671	8.77385e-05	0.15	8.07927e-08	-2.32832e-09	-1.632
18:20:52	263.13	0.18	3	0.022915	-0.000226975	-0.57	7.77077e-08	-3.37606e-09	-2.454
18:20:57	262.88	0.24	1	0.0104905	0.00027466	1.5	8.80104e-08	6.40288e-10	0.432
18:21:02	262.64	0.24	2	0.0336096	5.14986e-05	0.09	8.06181e-08	-2.38653e-09	-1.656
18:21:07	262.36	0.22	3	0.0232106	-0.000261309	-0.642	7.74749e-08	-3.43427e-09	-2.514
18:21:12	262.11	0.26	1	0.0106393	0.000267031	1.446	8.78358e-08	5.8208e-10	0.39
18:21:18	261.86	0.24	2	0.0340559	1.14442e-05	0.024	8.03852e-08	-2.44474e-09	-1.71
18:21:23	261.62	0.26	3	0.0235101	-0.000293734	-0.714	7.71838e-08	-3.55068e-09	-2.622
18:21:28	261.34	0.30	1	0.010788	0.000263216	1.398	8.77194e-08	5.23873e-10	0.372
18:21:33	261.09	0.26	2	0.0345099	-2.6703e-05	-0.042	8.00942e-08	-2.50294e-09	-1.788
18:21:38	260.84	0.30	3	0.0238134	-0.000329973	-0.792	7.68928e-08	-3.60889e-09	-2.682
18:21:43	260.60	0.28	1	0.0109444	0.000255587	1.344	8.75448e-08	4.65665e-10	0.324
18:21:48	260.32	0.28	2	0.0349734	-6.67577e-05	-0.108	7.98614e-08	-2.61936e-09	-1.842
18:21:53	260.07	0.26	3	0.0241224	-0.000366213	-0.87	7.66017e-08	-3.6671e-09	-2.742
18:21:58	259.82	0.28	1	0.0111008	0.000249865	1.29	8.73702e-08	4.65665e-10	0.306
18:22:03	259.58	0.28	2	0.0354407	-0.000110627	-0.18	7.96285e-08	-2.67757e-09	-1.896
18:22:08	259.30	0.30	3	0.0244371	-0.00040436	-0.948	7.63107e-08	-3.78353e-09	-2.802
18:22:14	259.05	0.26	1	0.0112591	0.000242234	1.236	8.72537e-08	4.07455e-10	0.282
18:22:19	258.80	0.32	2	0.0359175	-0.000158311	-0.252	7.93957e-08	-2.73577e-09	-1.95
18:22:24	258.56	0.30	3	0.0247537	-0.000444414	-1.026	7.60197e-08	-3.84173e-09	-2.886
18:22:29	258.28	0.30	1	0.0114213	0.000236512	1.188	8.70791e-08	3.49248e-10	0.24
18:22:34	258.03	0.36	2	0.0363963	-0.000204087	-0.318	7.91047e-08	-2.79398e-09	-2.004
18:22:39	257.78	0.26	3	0.0250722	-0.000484468	-1.104	7.57286e-08	-3.89994e-09	-2.946
18:22:44	257.54	0.32	1	0.0115815	0.000226975	1.128	8.69045e-08	2.9104e-10	0.198
18:22:49	257.29	0.34	2	0.0368807	-0.000251772	-0.39	7.88136e-08	-2.9104e-09	-2.082
18:22:54	257.02	0.28	3	0.0253965	-0.000528339	-1.188	7.53794e-08	-4.01636e-09	-3.036
18:22:59	256.76	0.28	1	0.0117512	0.000219346	1.074	8.67881e-08	2.32832e-10	0.156
18:23:04	256.52	0.26	2	0.0373785	-0.00030327	-0.462	7.85808e-08	-2.9686e-09	-2.136
18:23:10	256.27	0.30	3	0.0257303	-0.000570301	-1.272	7.50883e-08	-4.13277e-09	-3.126
18:23:15	256.00	0.30	1	0.011921	0.000209809	1.02	8.65552e-08	1.74624e-10	0.132
18:23:20	255.75	0.34	2	0.0378859	-0.000356676	-0.534	7.82898e-08	-3.02681e-09	-2.19
18:23:25	255.50	0.38	3	0.0260659	-0.000617985	-1.356	7.47391e-08	-4.19098e-09	-3.186
18:23:30	255.26	0.28	1	0.0120946	0.00020218	0.966	8.63806e-08	1.16416e-10	0.09
18:23:35	254.98	0.32	2	0.0383971	-0.000410082	-0.612	7.79987e-08	-3.14323e-09	-2.274
18:23:40	254.73	0.30	3	0.0264074	-0.000665668	-1.44	7.44481e-08	-4.3074e-09	-3.282
18:23:45	254.48	0.38	1	0.0122681	0.000192643	0.906	8.6206e-08	5.82081e-11	0.066
18:23:50	254.24	0.32	2	0.0389178	-0.000467302	-0.69	7.77077e-08	-3.20144e-09	-2.334
18:23:55	253.96	0.38	3	0.0267507	-0.000713352	-1.53	7.40988e-08	-4.3656e-09	-3.348
18:24:00	253.72	0.36	1	0.0124474	0.000183106	0.846	8.60896e-08	0.0	0.024
18:24:06	253.46	0.36	2	0.0394423	-0.000528339	-0.768	7.74166e-08	-3.25964e-09	-2.388
18:24:11	253.22	0.36	3	0.0270978	-0.000766758	-1.614	7.37496e-08	-4.42381e-09	-3.414
18:24:16	252.97	0.34	1	0.0126286	0.000169755	0.78	8.5915e-08	0.0	0.0
18:24:21	252.70	0.40	2	0.0399783	-0.000589374	-0.846	7.71838e-08	-3.31785e-09	-2.448
18:24:26	252.44	0.36	3	0.0274507	-0.000820164	-1.71	7.34585e-08	-4.54023e-09	-3.504
18:24:31	252.20	0.30	1	0.0128136	0.000158311	0.714	8.56821e-08	-1.16416e-10	-0.042
18:24:36	251.95	0.38	2	0.040518	-0.000654224	-0.924	7.68928e-08	-3.43427e-09	-2.532
18:24:41	251.68	0.36	3	0.0278093	-0.000871662	-1.794	7.31093e-08	-4.65664e-09	-3.6
18:24:46	251.42	0.36	1	0.0130005	0.000146867	0.654	8.55075e-08	-1.74624e-10	-0.09
18:24:51	251.18	0.32	2	0.0410655	-0.000720982	-1.002	7.65435e-08	-3.49247e-09	-2.592
18:24:56	250.93	0.32	3	0.0281717	-0.000928883	-1.884	7.276e-08	-4.71485e-09	-3.666
18:25:01	250.69	0.38	1	0.0131894	0.000135423	0.594	8.53329e-08	-2.32832e-10	-0.132
18:25:07	250.42	0.42	2	0.0416224	-0.000789646	-1.086	7.62525e-08	-3.55068e-09	-2.652
18:25:12	250.31	0.36	3	0.0285379	-0.000988014	-1.98	7.24108e-08	-4.77306e-09	-3.768
18:25:17	250.28	0.38	1	0.0133858	0.000122071	0.528	8.51583e-08	-2.9104e-10	-0.18
18:25:22	250.30	0.34	2	0.0421851	-0.000860218	-1.17	7.59615e-08	-3.6671e-09	-2.736
18:25:27	250.29	0.38	3	0.0289079	-0.00104905	-2.076	7.20615e-08	-4.88947e-09	-3.834
18:25:32	250.26	0.42	1	0.0135804	0.000106812	0.456	8.49254e-08	-3.49248e-10	-0.204
18:25:37	250.23	0.34	2	0.0427535	-0.000936512	-1.254	7.56704e-08	-3.6671e-09	-2.772
18:25:42	250.21	0.34	3	0.0292779	-0.00111008	-2.172	7.17123e-08	-4.94768e-09	-3.936
18:25:47	250.18	0.38	1	0.0137749	9.34605e-05	0.396	8.47508e-08	-4.07455e-10	-0.246
18:25:52	250.17	0.34	2	0.0433142	-0.0010109	-1.338	7.53794e-08	-3.78353e-09	-2.862
